refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
DUMBOC	Co	2	2	6	205	Octahedral	0.88	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C7-N3-O', 'H9-C7-N3-O']	H22-C14-N6-O4-Co	7	27	['DUMBOC']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
NALCIO	Co	2	0	6	253	Octahedral	0.75	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C8-N2-O4', 'H9-C8-N2-O4']	H22-C16-N4-O10-Co	7	27	['NALCIO', 'EHAZET01']	2	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
KEZMAE	Co	2	0	6	251	Octahedral	2.46	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H4-C3-N2', 'H4-C3-N2', 'H7-C8-O2', 'H7-C8-O2']	H24-C22-N4-O5-Co	7	27	['KEZMAE']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
GEVHEW	Co	2	0	6	267	Octahedral	2.90	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H4-C3-N2', 'H4-C3-N2', 'H7-C8-O3', 'H7-C8-O3']	H24-C22-N4-O7-Co	7	27	['GEVHEW']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
MUHLIK	Co	2	0	6	187	Octahedral	2.55	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H4-C4-O5', 'H8-C10-N2']	H14-C14-N2-O6-Co	7	27	['MUHLIK']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
AWEHAN	Co	2	0	6	335	Octahedral	2.26	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H4-C7-N-O4', 'H4-C7-N-O4', 'H6-C6-N2-O', 'H6-C6-N2-O']	H22-C26-N6-O11-Co	7	27	['AWEHAN']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
HIVYIV	Co	2	0	6	315	Octahedral	2.65	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H4-C7-O2-Br', 'H4-C7-O2-Br', 'H5-C5-N', 'H5-C5-N']	H20-C24-N2-O5-Co-Br2	7	27	['HIVYIV']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
MEVZIY	Co	2	0	6	279	Octahedral	2.60	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H4-C7-O2-Cl', 'H4-C7-O2-Cl', 'H5-C5-N', 'H5-C5-N']	H20-C24-N2-O5-Cl2-Co	7	27	['MEVZIY']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
SADXUS	Co	2	0	6	273	Octahedral	4.33	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H4-C7-O2-F', 'H4-C7-O2-F', 'H8-C12-N2']	H18-C26-N2-O5-F2-Co	7	27	['SADXUS']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
SEQDUO	Co	2	0	6	199	Octahedral	3.29	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H5-C4-N3', 'H5-C4-N3', 'N-O3', 'N-O3']	H12-C8-N8-O7-Co	7	27	['SEQDUO']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
YOLZUV	Co	2	0	6	247	Octahedral	1.97	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H5-C5-N', 'H5-C5-N', 'H5-C7-O2', 'H5-C7-O2']	H22-C24-N2-O5-Co	7	27	['YOLZUV']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
TAGVEE	Co	2	0	6	289	Octahedral	3.12	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H7-C8-O3', 'H7-C8-O3', 'H8-C12-N2']	H24-C28-N2-O7-Co	7	27	['TAGVEE']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BINMES	Co	2	0	6	313	Octahedral	2.88	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H8-C10-N-O2', 'H8-C10-N-O2', 'H8-C12-N2']	H26-C32-N4-O5-Co	7	27	['BINMES']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
